SMILES,QED,ChemAIrank
CC1CCc2c(sc3nc(SCC(=O)Nc4ccc(Cl)c(Cl)c4)n(-c4ccccc4)c(=O)c23)C1,23.31,37.64
CC(=O)Nc1cccc(C(C)NC(=O)C(C(C)C)n2c(C)nc3ccccc32)c1,65.36,32.38
O=C(OCc1nnc(-c2ccccc2)o1)c1c2c(nc3ccccc13)C(=Cc1ccco1)CCC2,29.04,26.16
Cc1cc(CSc2ncccc2C(=O)N2CCCN(c3nc4ccccc4[nH]3)CC2)no1,46.31,27.82
CC(C)c1noc(C(C)N2CCC(c3nc4ccccc4[nH]3)CC2)n1,77.74,25.22
O=C(Nc1ccnn1Cc1ccccc1)c1nc(N2CCCCC2)ncc1Cl,71.24,25.19
CC1CCCCN1Cc1ccc(NC(=O)c2cccc(S(=O)(=O)N3CCCC3)c2)cc1,73.28,27.37
CCc1c(C(=O)NCc2ccc(-n3cncn3)nc2)cnn1-c1ccc(OC)nn1,48.51,29.41
C=C1c2ccccc2C(=O)N1CCC(=O)NCC(c1ccccc1)N1CCCC1,78.91,28.12
NC(=O)c1cc(NC(=O)C2CCCN(c3ncccc3C(F)(F)F)C2)ccc1Cl,77.97,28.99
CC(=O)c1c(C)[nH]c(C(=O)NCc2ccccc2CN2CCCC(C)C2)c1C,74.36,29
